itemappid,applicationid,itemid
4653,1,10016
694,1,10025
636,1,10055
634,1,10056
448,1,10057
444,1,10058
646,1,17318
642,1,17352
4462,5,22452
4464,5,22454
4466,5,22456
4468,5,22458
4704,5,22686
4458,7,22446
4460,7,22448
600,9,10009
804,9,10013
587,13,10010
689,13,17354
671,13,17356
675,13,17358
679,13,17360
683,13,17362
4659,13,22665
4665,13,22668
4671,13,22671
4677,13,22674
4683,13,22677
4692,13,22680
4698,13,22683
4587,15,10014
4593,15,10026
4595,15,10030
4589,15,17350
4583,15,22181
588,17,10010
690,17,17354
672,17,17356
676,17,17358
680,17,17360
684,17,17362
4660,17,22665
4666,17,22668
4672,17,22671
4678,17,22674
4684,17,22677
4693,17,22680
4699,17,22683
693,21,10025
447,21,10057
443,21,10058
645,21,17318
641,21,17352
4654,23,10016
654,23,10019
4447,179,22183
4443,179,22185
4441,179,22187
4097,179,22189
5813,179,22191
5814,179,22196
5815,179,22199
4451,179,22219
4445,179,22396
4398,179,22399
4400,179,22400
4401,179,22401
4402,179,22402
4404,179,22404
4406,179,22406
4408,179,22408
4410,179,22410
4412,179,22412
4414,179,22414
4416,179,22416
4418,179,22418
4420,179,22420
4422,179,22422
4424,179,22424
4426,179,22426
4428,179,22428
4430,179,22430
4707,179,22689
5341,179,23171
5421,179,23251
5849,179,23634
4548,206,22231
4544,206,22232
5514,206,23318
4545,207,10020
4549,207,10059
5515,207,23319
4719,227,22701
4720,227,22702
4721,227,22703
4722,227,22704
4723,227,22705
4724,227,22706
4725,227,22707
4726,227,22708
4762,227,22709
4727,228,22710
4728,228,22711
4729,228,22712
4730,228,22713
4731,228,22714
4732,229,22715
4733,229,22716
4734,229,22717
4735,229,22718
4736,229,22719
4737,230,22721
4738,230,22722
4739,230,22723
4740,230,22724
4741,230,22725
4742,230,22726
4743,230,22727
4744,230,22728
4763,230,22729
4745,231,22730
4746,231,22731
4747,231,22732
4748,231,22733
4749,231,22734
4750,232,22736
4751,232,22737
4752,232,22738
4753,232,22739
4754,232,22740
4755,232,22741
4756,232,22742
4757,232,22743
4764,232,22744
4758,234,22749
4759,234,22755
4760,234,22756
4761,234,22757
4765,234,22758
4766,234,22759
4767,235,22761
4768,235,22762
4769,235,22763
4770,235,22764
4771,235,22765
4772,235,22766
4773,236,22768
4774,236,22769
4775,236,22770
4776,236,22771
4777,236,22772
4778,236,22773
4779,237,22774
4780,237,22775
4781,237,22776
4782,237,22777
4783,237,22778
4784,238,22780
4785,238,22781
4786,238,22782
4787,238,22783
4788,238,22784
4789,238,22785
4790,238,22786
4791,238,22787
4792,238,22788
4793,240,22793
4794,241,22797
4795,242,22799
4817,245,22800
4818,245,22801
4819,245,22802
4820,245,22803
4821,245,22805
4823,245,22806
4822,246,22804
4824,247,22807
4825,248,22809
4826,248,22810
4827,248,22811
4828,248,22812
4829,248,22813
4830,248,22814
4831,248,22816
4832,249,22808
4833,249,22815
4834,250,22817
4835,250,22818
4836,251,22819
4837,251,22820
4838,251,22821
4839,251,22822
4840,251,22823
4841,251,22824
4842,251,22825
4843,251,22826
4844,251,22827
4845,251,22828
4846,251,22829
4847,251,22830
4848,251,22831
4849,251,22832
4850,252,22833
4851,252,22834
5516,252,23320
4858,253,22840
4860,253,22841
4862,253,22842
4864,253,22843
4866,253,22844
4868,253,22845
4870,253,22846
4874,253,22848
4880,253,22851
4882,253,22852
5276,254,22868
5278,254,22869
5279,254,22870
5280,254,22871
5277,254,22872
4857,255,22839
4885,255,22853
4887,255,22854
4892,255,22858
4894,255,22859
4888,256,22855
4889,256,22856
4890,256,22857
4898,256,22862
4899,256,22863
5152,257,23075
5153,257,23076
4852,258,22835
4853,258,22836
4856,258,22839
4884,258,22853
4886,258,22854
4891,258,22858
4893,258,22859
4895,258,22860
4859,259,22840
4861,259,22841
4863,259,22842
4865,259,22843
4867,259,22844
4869,259,22845
4871,259,22846
4875,259,22848
4881,259,22851
4883,259,22852
4854,260,22837
4855,260,22838
4896,261,22860
4897,261,22861
4900,262,22873
4901,262,22874
5517,262,23321
4908,263,22880
4910,263,22881
4912,263,22882
4914,263,22883
4916,263,22884
4918,263,22885
4920,263,22886
4924,263,22888
4930,263,22891
4932,263,22892
5256,264,22908
5258,264,22909
5259,264,22910
5260,264,22911
5257,264,22912
4907,265,22879
4935,265,22893
4937,265,22894
4942,265,22898
4944,265,22899
4938,266,22895
4939,266,22896
4940,266,22897
4948,266,22902
4949,266,22903
5150,267,23073
5151,267,23074
4902,268,22875
4903,268,22876
4906,268,22879
4934,268,22893
4936,268,22894
4941,268,22898
4943,268,22899
4945,268,22900
4909,269,22880
4911,269,22881
4913,269,22882
4915,269,22883
4917,269,22884
4919,269,22885
4921,269,22886
4925,269,22888
4931,269,22891
4933,269,22892
4904,270,22877
4905,270,22878
4946,271,22900
4947,271,22901
4950,272,22913
4951,272,22914
5518,272,23322
4958,273,22920
4960,273,22921
4962,273,22922
4964,273,22923
4966,273,22924
5310,273,23108
5307,273,23109
5290,273,23110
5313,273,23111
5304,273,23112
5296,273,23113
5292,273,23114
5294,273,23115
5330,273,23118
5332,273,23119
5334,273,23120
5336,273,23121
5877,273,23123
5248,274,22948
5250,274,22949
5251,274,22950
5252,274,22951
5249,274,22952
5323,274,23116
5326,274,23117
5512,275,22933
4987,275,22934
4992,275,22938
4994,275,22939
4998,276,22942
4999,276,22943
5875,276,23122
5193,276,23124
5194,276,23125
5319,276,23126
5321,276,23127
5322,276,23128
5316,276,23129
5317,276,23130
5325,276,23131
5254,277,22945
5255,277,22946
5513,278,22933
4986,278,22934
4991,278,22938
4993,278,22939
4995,278,22940
4959,279,22920
4961,279,22921
4963,279,22922
4965,279,22923
4967,279,22924
5312,279,23108
5309,279,23109
5291,279,23110
5315,279,23111
5305,279,23112
5297,279,23113
5293,279,23114
5295,279,23115
5324,279,23116
5327,279,23117
5333,279,23119
5335,279,23120
5337,279,23121
5876,279,23122
5878,279,23123
4954,280,22917
4955,280,22918
4996,281,22940
4997,281,22941
5000,282,22953
5001,282,22954
5519,282,23323
5010,283,22961
5012,283,22962
5014,283,22963
5018,283,22965
5024,283,22968
5030,283,22971
5032,283,22972
5262,284,22988
5264,284,22989
5265,284,22990
5267,284,22991
5263,284,22992
5035,285,22973
5037,285,22974
5042,285,22978
5048,286,22982
5049,286,22983
5268,287,22985
5269,287,22986
5034,288,22973
5036,288,22974
5041,288,22978
5045,288,22980
5011,289,22961
5013,289,22962
5015,289,22963
5019,289,22965
5025,289,22968
5031,289,22971
5033,289,22972
5046,291,22980
5047,291,22981
5050,292,22993
5051,292,22994
5520,292,23324
5058,293,23000
5060,293,23001
5062,293,23002
5064,293,23003
5066,293,23004
5068,293,23005
5072,293,23007
5080,293,23011
5082,293,23012
5281,294,23028
5284,294,23029
5285,294,23030
5286,294,23031
5283,294,23032
5057,295,22999
5085,295,23013
5087,295,23014
5092,295,23018
5094,295,23019
5088,296,23015
5089,296,23016
5090,296,23017
5098,296,23022
5099,296,23023
5287,297,23025
5288,297,23026
5053,298,22996
5056,298,22999
5084,298,23013
5086,298,23014
5091,298,23018
5093,298,23019
5095,298,23020
5059,299,23000
5061,299,23001
5063,299,23002
5065,299,23003
5067,299,23004
5069,299,23005
5073,299,23007
5081,299,23011
5083,299,23012
5054,300,22997
5055,300,22998
5096,301,23020
5097,301,23021
5100,302,23033
5101,302,23034
5521,302,23325
5110,303,23041
5112,303,23042
5114,303,23043
5271,304,23068
5273,304,23069
5274,304,23070
5275,304,23071
5272,304,23072
5107,305,23039
5135,305,23053
5137,305,23054
5142,305,23058
5144,305,23059
5148,306,23062
5149,306,23063
5154,307,23077
5155,307,23078
5102,308,23035
5103,308,23036
5106,308,23039
5134,308,23053
5136,308,23054
5141,308,23058
5143,308,23059
5145,308,23060
5111,309,23041
5113,309,23042
5115,309,23043
5146,311,23060
5147,311,23061
5510,319,23149
5217,319,23150
5229,320,23134
5231,320,23135
5424,320,23136
5426,320,23137
5233,320,23143
5246,320,23144
5244,320,23145
5228,322,23134
5230,322,23135
5423,322,23136
5425,322,23137
5247,322,23164
5253,322,23165
5266,322,23167
5270,322,23168
5204,323,23138
5511,323,23149
5206,324,23140
5232,325,23143
5245,325,23144
5243,325,23145
5234,328,23147
5235,328,23148
5226,328,23158
5240,328,23159
5241,329,23160
5242,329,23161
5522,329,23326
5282,330,23169
5289,330,23170
5311,331,23108
5308,331,23109
5314,331,23111
5306,331,23112
5331,331,23118
5343,332,23173
5344,332,23174
5345,332,23175
5342,333,23172
5382,333,23212
5346,334,23176
5347,334,23177
5348,334,23178
5349,334,23179
5350,334,23180
5351,334,23181
5352,334,23182
5353,334,23183
5354,334,23184
5355,334,23185
5356,334,23186
5357,334,23187
5360,335,23190
5853,335,23638
5854,335,23639
5855,335,23640
5856,335,23641
5857,335,23642
5858,335,23643
5361,336,23191
5362,336,23192
5363,336,23193
5364,336,23194
5365,336,23195
5366,336,23196
5367,336,23197
5368,336,23198
5369,336,23199
5370,336,23200
5371,336,23201
5372,336,23202
5373,336,23203
5374,336,23204
5375,336,23205
5376,336,23206
5377,336,23207
5378,336,23208
5379,336,23209
5380,336,23210
5381,336,23211
5383,337,23213
5384,337,23214
5852,337,23637
5358,338,23188
5359,338,23189
5851,338,23636
5385,339,23215
5386,339,23216
5387,339,23217
5388,339,23218
5389,340,23219
5390,340,23220
5391,340,23221
5392,340,23222
5393,340,23223
5394,340,23224
5395,340,23225
5396,340,23226
5397,340,23227
5398,341,23228
5399,341,23229
5400,341,23230
5401,341,23231
5402,341,23232
5403,341,23233
5404,341,23234
5405,341,23235
5406,341,23236
5407,342,23237
5408,342,23238
5409,342,23239
5410,342,23240
5411,342,23241
5412,342,23242
5413,342,23243
5414,342,23244
5415,343,23245
5416,343,23246
5417,343,23247
5418,343,23248
5419,343,23249
5420,344,23250
5427,345,23252
5428,345,23253
5429,345,23254
5430,345,23255
5431,345,23256
5432,345,23257
5433,345,23258
5434,345,23259
5435,345,23260
5436,345,23261
5437,345,23262
5438,345,23263
5439,345,23264
5440,345,23265
5441,345,23266
5442,345,23267
5443,345,23268
5444,345,23269
5445,345,23270
5446,345,23271
5447,345,23272
5448,345,23273
5449,345,23274
5450,345,23275
5451,345,23276
5452,345,23277
5524,345,23328
5527,345,23620
5528,345,23625
5529,345,23628
5850,345,23635
5468,346,23294
5470,346,23295
5472,346,23296
5474,346,23297
5476,346,23298
5478,346,23299
5480,346,23300
5482,346,23301
5484,346,23302
5486,346,23303
5488,346,23304
5490,346,23305
5492,346,23306
5455,347,23282
5456,347,23283
5457,347,23284
5458,347,23285
5459,347,23286
5467,348,23293
5495,348,23307
5497,348,23308
5502,348,23312
5504,348,23313
5498,349,23309
5499,349,23310
5500,349,23311
5508,349,23316
5509,349,23317
5453,350,23280
5454,350,23281
5462,351,23289
5463,351,23290
5466,351,23293
5494,351,23307
5496,351,23308
5501,351,23312
5503,351,23313
5505,351,23314
5469,352,23294
5471,352,23295
5473,352,23296
5475,352,23297
5477,352,23298
5479,352,23299
5481,352,23300
5483,352,23301
5485,352,23302
5487,352,23303
5489,352,23304
5491,352,23305
5493,352,23306
5464,353,23291
5465,353,23292
5506,354,23314
5507,354,23315
5460,355,23287
5461,355,23288
5523,355,23327
5816,356,23340
5817,356,23341
5818,356,23342
5819,356,23343
5820,356,23344
5821,356,23345
5822,356,23346
5823,356,23347
5824,356,23348
5825,356,23349
5826,356,23350
5827,356,23351
5828,356,23352
5829,356,23353
5830,356,23354
5831,356,23355
5832,356,23356
5833,356,23357
5834,356,23358
5835,356,23359
5836,356,23360
5747,408,23550
5748,408,23551
5740,410,23543
5741,410,23544
5742,410,23545
5743,410,23546
5841,410,23585
5842,410,23586
5843,410,23587
5844,410,23588
5749,412,23552
5750,412,23553
5774,412,23573
5795,412,23597
5744,414,23547
5745,414,23548
5746,414,23549
5752,416,23556
5754,416,23557
5756,416,23558
5758,416,23559
5760,416,23560
5761,418,23561
5763,418,23563
5766,418,23565
5769,418,23568
5770,418,23569
5796,418,23598
5887,418,23665
5751,420,23555
5753,420,23556
5755,420,23557
5757,420,23558
5759,420,23559
5762,420,23562
5764,420,23564
5768,420,23567
5765,422,23564
5767,422,23566
5773,422,23572
5776,424,23576
5777,424,23577
5778,424,23578
5779,424,23579
5793,433,23593
5794,434,23596
5797,435,23601
5798,435,23602
5799,435,23603
5800,435,23604
5801,437,23605
5802,437,23606
5803,437,23607
5804,437,23608
5845,443,23629
5846,443,23630
5847,445,23632
5848,445,23633
5859,446,23644
5860,447,23645
5861,448,23646
5862,449,23647
5863,450,23648
5864,451,23649
5865,452,23650
5866,453,23651
5867,454,23652
5868,455,23653
5869,456,23654
5870,457,23655
5871,457,23656
5872,457,23657
5873,458,23658
5874,458,23659
5888,459,23666
5889,459,23667
5890,459,23668
5891,460,23669
5892,460,23670
5893,461,23671
5894,461,23672
5895,461,23673
5896,461,23674
5897,461,23675
5898,461,23676
5899,461,23677
5900,461,23678
5901,461,23679
5902,461,23680
5903,461,23681
5904,461,23682
5905,462,23683
5906,462,23684
5907,462,23685
5908,462,23686
5909,462,23687
5910,462,23688
5911,462,23689
5912,463,23690
5913,463,23691
5914,463,23692
5915,463,23693
5916,463,23694
5917,463,23695
5918,463,23696
5919,463,23697
5920,463,23698
5921,463,23699
5922,463,23700
5923,463,23701
5924,463,23702
5925,463,23703
5926,463,23704
5927,463,23705
5928,463,23706
5929,463,23707
5930,463,23708
5931,463,23709
5932,463,23710
5933,464,23711
5934,464,23712
5935,464,23713
5936,465,23714
5937,465,23715
5938,465,23716
5939,466,23717
5940,466,23718
5941,466,23719
5942,466,23720
5943,467,23721
5944,467,23722
5945,467,23723
5946,468,23724
5947,468,23725
5948,469,23726
5949,469,23727
5950,469,23728
5951,469,23729
5952,469,23730
5953,469,23731
5954,469,23732
5955,469,23733
5956,469,23734
5957,469,23735
5958,469,23736
5959,469,23737
5960,470,23738
5961,470,23739
5962,470,23740
5963,470,23741
5964,470,23742
5965,470,23743
5966,470,23744
5967,471,23745
5968,471,23746
5969,471,23747
5970,471,23748
5971,471,23749
5972,471,23750
5973,471,23751
5974,471,23752
5975,471,23753
5976,471,23754
5977,471,23755
5978,471,23756
5979,471,23757
5980,471,23758
5981,471,23759
5982,471,23760
5983,471,23761
5984,471,23762
5985,471,23763
5986,471,23764
5987,471,23765
5988,472,23766
5989,472,23767
5990,472,23768
5991,473,23769
5992,473,23770
5993,473,23771
5994,474,23772
5995,474,23773
5996,474,23774
5997,474,23775
